,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,
90,Puravankara Aspire,"Near Ambrosia Resort and Spa, Bavdhan, Paud Road, Pune","2, 3 BHK Apartments","Dec, 2022",Price on request,1180.00 sq.ft. - 1805.00 sq.ft.,2.64 Acres,2 Buildings - 236 units,"Jun, 2019",
91,Sanjay's Selenite,"14 / 1B/1, Near Hotel Green Park, Baner Road, Aundh, Pashan Road, Pune",2 BHK Apartment,Ready to Move,7.08 K/sq.ft,1482.00 sq.ft.,,1 Building - 50 units,"Jan, 2013",
92,Amar Serenity,"Plot No. Survey No. 135/5, Plot No 2 At Pune (M Corp.), Baner-Pashan Link Road, Pune",3 BHK Apartment,"Dec, 2020",12.47 K/sq.ft,1003.00 sq.ft. - 1130.00 sq.ft.,2.92 Acres,4 Buildings - 246 units,"Jun, 2016",
93,Kumar Privie Sanctum A1 And B1,"Ivory Estate, Ward No. 8, Baner, Pashan Road, Pune","3.5, 4.5 BHK Apartments","May, 2021",Price on request,1611.00 sq.ft. - 2263.00 sq.ft.,1 Acres,2 Buildings - 60 units,"Oct, 2013",
94,Kumar Peninsula,"S.No. 135, Baner-Pashan Link Road, Pashan, Baner-Pashan Link Road, Pune",3 BHK Apartment,"Dec, 2014",6.00 K/sq.ft,1750.00 sq.ft. - 3046.00 sq.ft.,,4 Buildings - 84 units,"Dec, 2010",
95,Supremus,"Pashan, Pashan Road, Pune",2 BHK Apartment,"Jun, 2025",7.98 K/sq.ft,607.00 sq.ft. - 618.00 sq.ft.,0.98 Acres,2 Buildings - 141 units,"Jan, 2022",
96,VTP Solitaire Phase 1 A B,"Survey No 135/5/1, Haveli, Pashan, Pashan Road, Pune","2, 3 BHK Apartments","Jun, 2022",10.29 K/sq.ft,673.00 sq.ft. - 923.00 sq.ft.,1 Acres,2 Buildings - 112 units,"Oct, 2017",
97,Surya Blossom N Springs,"Baner Pashan Link Road, Pune, Baner-Pashan Link Road, Pune",,,Price on request,On Request,,,,
98,Amar Landmark,"Survey No 19/A/2B, CTS No 578 Part At Pashan, Pashan Road, Pune",4 BHK Apartment,"Jun, 2023",Price on request,2861.00 sq.ft. - 2891.00 sq.ft.,2 Acres,2 Buildings - 64 units,"Jul, 2018",
99,Sukhwani Saffron,"S. No.120, Hissa No. 5/1/2/8/10 Near Balaji Mandir, Pashan, Sus Road-Pashan, Pune","2, 3 BHK Apartments",Ready to Move,9.93 K/sq.ft,716.00 sq.ft. - 957.00 sq.ft.,,2 Buildings - 55 units,"Dec, 2014",
100,Goel Ganga Atharva Ganga,"Balaji Chowk, Pashan, Pashan Road, Pune","1, 2, 2.5 BHK Apartments","Apr, 2014",10.00 K/sq.ft,615.00 sq.ft. - 1250.00 sq.ft.,,,"Feb, 2011",
101,Chordia Spring Flower ,"Off Panchawati Road, Near Knowledge Circle Law Classes, Panchawati, Pashan, Pune",2 BHK Apartment,Ready to Move,9.26 K/sq.ft,1080.00 sq.ft.,,,,
102,Amar Serenity,"Plot No. Survey No. 135/5, Plot No 2 At Pune (M Corp.), Baner-Pashan Link Road, Pune",3 BHK Apartment,"Dec, 2020",12.47 K/sq.ft,1003.00 sq.ft. - 1130.00 sq.ft.,2.92 Acres,4 Buildings - 246 units,"Jun, 2016",
103,Real Dream Homes,"Survey No 72, Ambi Road Near Talegaon Railway Station, talegaon Dabhade ,Varale, Pune",1 BHK Apartment,"Mar, 2022",Price on request,429.00 sq.ft. - 473.00 sq.ft.,4 Acres,2 Buildings - 238 units,"Feb, 2020",
104,Godrej Sky Greens Phase 1,"Sector R5, Manjari, Pune","2, 3 BHK Apartments","Mar, 2026",9.16 K/sq.ft,617.00 sq.ft. - 854.00 sq.ft.,4.15 Acres,4 Buildings - 1077 units,"Jan, 2022",
105,Vision Aristo,"S. No. 39, Near Mukai Chowk, Kiwale, Ravet, Pimpri Chinchwad, Pune","2, 3 BHK Apartments","Mar, 2026",6.23 K/sq.ft,734.00 sq.ft. - 972.00 sq.ft.,2.47 Acres,4 Buildings - 225 units,"Sep, 2021",
106,Naiknavare Neelaya,"Talegaon Dabhade, Pune","1, 2 BHK Apartments","Jun, 2020",5.46 K/sq.ft,385.00 sq.ft. - 529.00 sq.ft.,1 Acres,1 Building - 137 units,"Jun, 2017",
107,Setpal Palazzo,"S.No. 283/2, Vadgaon Maval, Next to Hotel Sheetal, Talegaon Dabhade, Pune","1, 2 BHK Apartments","Dec, 2019",Price on request,403.00 sq.ft. - 565.00 sq.ft.,,1 Building - 95 units,"Feb, 2015",
108,Puneville Phase II Cluster A,"Sr. No. 17/19, NH4, Pune Mumbai Highway, Near Lotus Business School, Punawale, Tathawade, Pimpri Chinchwad, Pune","2, 2.5, 3, 4.5 BHK Apartments","Dec, 2022",Price on request,66.15 sq.mt. - 182.00 sq.mt.,40 Acres (40% open),16 Buildings - 1500 units,"Dec, 2013",
109,Nanded City Pune Rhythm I II III,"Nanded City, Sinhagad Road, Pune",Residential Plots,"Sep, 2024",Price on request,2400.00 sq.ft. - 5234.00 sq.ft.,26 Acres,,,
